Ticker,Tipo,Segmento,Preço,DY (%),P/VP,Liquidez Diária (R$),Vacância (%),Score,Estratégias,Número Mágico,Custo Mágico (R$),Seção Bola de Neve
RZTR11,OUTROS,Outros,96.60,12.53,1.03,3.52M,24.40,7,,96,9273.60,Base R$ 100+ (Premium/Tradicionais)
AFHI11,MULTI,Multicategoria,97.04,12.44,1.03,762.15K,0.00,8,SAFE_INCOME,97,9412.88,Base R$ 100+ (Premium/Tradicionais)
RBRY11,MULTI,Multicategoria,97.15,14.25,0.97,5.79M,0.00,10,SAFE_INCOME,85,8257.75,Base R$ 100+ (Premium/Tradicionais)
KNHF11,MULTI,Multicategoria,97.98,11.86,0.97,4.32M,0.64,9,SAFE_INCOME,102,9993.96,Base R$ 100+ (Premium/Tradicionais)
TVRI11,OUTROS,Escrit�rios,98.25,12.57,0.94,1.02M,2.88,9,SAFE_INCOME,96,9432.00,Base R$ 100+ (Premium/Tradicionais)
EGAF11,OUTROS,T�tulos e Val. Mob.,98.97,8.56,1.00,772.23K,0.00,7,,141,13954.77,Base R$ 100+ (Premium/Tradicionais)
MALL11,TIJOLO,Shoppings,100.03,8.91,0.83,1.52M,3.64,10,TIJOLO_VALUE,135,13504.05,Base R$ 100+ (Premium/Tradicionais)
KNHY11,MULTI,Multicategoria,100.43,11.25,1.01,4.29M,0.00,9,SAFE_INCOME,107,10746.01,Base R$ 100+ (Premium/Tradicionais)
BFCC11,OUTROS,Escrit�rios,100.43,0.66,1.02,4.60M,0.00,6,,1819,182682.17,Base R$ 100+ (Premium/Tradicionais)
CRAA11,OUTROS,T�tulos e Val. Mob.,100.76,7.44,0.99,920.72K,0.00,6,,162,16323.12,Base R$ 100+ (Premium/Tradicionais)
VILG11,OUTROS,Log�stica,101.61,8.33,0.90,3.40M,0.79,8,,145,14733.45,Base R$ 100+ (Premium/Tradicionais)
XPLG11,OUTROS,Log�stica,102.18,9.55,0.97,5.55M,5.06,7,SAFE_INCOME,126,12874.68,Base R$ 100+ (Premium/Tradicionais)
BTLG11,MULTI,Multicategoria,102.99,9.06,1.00,20.27M,0.84,8,SAFE_INCOME,133,13697.67,Base R$ 100+ (Premium/Tradicionais)
KNUQ11,MULTI,Multicategoria,105.54,14.61,1.04,4.61M,0.00,10,SAFE_INCOME,83,8759.82,Base R$ 100+ (Premium/Tradicionais)
KNCR11,MULTI,Multicategoria,106.10,13.62,1.04,18.72M,0.00,10,SAFE_INCOME,89,9442.90,Base R$ 100+ (Premium/Tradicionais)
PMLL11,TIJOLO,Shoppings,106.89,9.66,0.91,4.77M,3.66,10,TIJOLO_VALUE; SAFE_INCOME,125,13361.25,Base R$ 100+ (Premium/Tradicionais)
VISC11,TIJOLO,Shoppings,108.69,8.86,0.92,7.38M,0.00,10,TIJOLO_VALUE,136,14781.84,Base R$ 100+ (Premium/Tradicionais)
